price,sector,property_type,bedrooms,area_m2
201585,Bayahibe,apartment,2,99
139000,Evaristo Morales,apartment,2,105
310000,Distrito Nacional,house,3,170
210000,Distrito Nacional,apartment,3,155
92000,Otras ciudades,apartment,3,88
150000,Distrito Nacional,apartment,1,77
70000,Caleta,apartment,2,82
195000,Piantini,apartment,1,79
148000,VISTACANA,apartment,1,78
135000,Otras ciudades,apartment,3,84
176000,El Millón,apartment,2,121
241705,Urbanización Real,apartment,2,100
175000,Santiago de los Cab...,apartment,3,114
139000,Evaristo Morales,apartment,2,110
130000,Otras ciudades,apartment,3,100
72875,Santo Domingo Este,apartment,3,82
220000,Otras ciudades,apartment,3,140
145000,Otras ciudades,apartment,3,115
269000,Distrito Nacional,apartment,2,132
3500000,Distrito Nacional,apartment,10,2872
175000,Samaná,apartment,1,77
108000,Villa Marina,apartment,1,56
119900,Bávaro/Punta Cana,apartment,1,58
50000,Santo Domingo Este,apartment,3,64
56000,Boca Chica,apartment,2,54
72500,Boca Chica,apartment,3,63
124000,Otras ciudades,apartment,3,100
102000,Otras ciudades,apartment,3,96
150000,Mirador Sur,apartment,3,120
140000,Otras ciudades,apartment,3,105
160000,Santiago de los Cab...,apartment,3,105
53500,Otras ciudades,apartment,1,33
79888,Santo Domingo Este,apartment,2,69
100000,Otras ciudades,apartment,3,96
100000,Dominicanos Ausentes,apartment,1,90
73000,Otras ciudades,apartment,3,70
235000,Distrito Nacional,apartment,3,160
242178,Otras ciudades,apartment,3,132
316452,Otras ciudades,apartment,2,139
225000,Bávaro/Punta Cana,apartment,2,70
279000,Renacimiento,house,3,344
173000,Otras ciudades,apartment,3,126
149940,Bávaro/Punta Cana,apartment,1,50
318000,Bávaro/Punta Cana,apartment,2,109
152000,El Millón,apartment,2,115
280000,Otras ciudades,apartment,2,120
200000,Distrito Nacional,apartment,1,64
130000,Otras ciudades,apartment,3,100
150000,Otras ciudades,apartment,3,115
279000,Otras ciudades,apartment,2,90
95000,Otras ciudades,apartment,2,70
130000,Otras ciudades,apartment,3,108
137500,Santo Domingo Este,apartment,3,90
73427,Santo Domingo Este,apartment,3,86
110000,Distrito Nacional,apartment,1,66
230000,Ensanche Naco,apartment,3,183
159000,Otras ciudades,apartment,3,117
120094,Otras ciudades,apartment,1,62
99000,Otras ciudades,apartment,1,59
82500,Caleta,apartment,3,109
1250000,Distrito Nacional,apartment,1,1621
110000,Residencial Romana ...,apartment,2,91
215000,Mar del Sol,apartment,2,1
108000,Distrito Nacional,apartment,3,112
74000,San Francisco de Ma...,apartment,3,61
126000,San Francisco de Ma...,apartment,3,105
136000,Otras ciudades,apartment,3,109
200000,Otras ciudades,apartment,2,82
125000,Otras ciudades,apartment,3,95
112000,Otras ciudades,apartment,3,98
147200,Otras ciudades,apartment,2,93
84500,Boca Chica,apartment,3,70
69000,La Romana,apartment,2,56
150000,Otras ciudades,apartment,3,115
181000,Otras ciudades,apartment,4,130
50100,Bayahibe,apartment,1,32
164800,Juan Dolio,apartment,2,97
440000,Ciudad Nueva,apartment,3,400
227000,Evaristo Morales,apartment,3,165
240000,La Trinitaria,apartment,2,89
